id,booking_status_pred,Probability
42100,0,0.10517766
42101,0,0.0383987
42102,0,0.36095428
42103,0,0.12507291
42104,1,0.5935514
42105,1,0.6339759
42106,0,0.4872408
42107,1,0.73306185
42108,0,6.462459e-09
42109,1,0.5397276
42110,1,0.78192806
42111,0,0.2263801
42112,1,0.50876534
42113,0,0.22271486
42114,0,0.3553204
42115,1,0.81121296
42116,0,0.06953359
42117,0,0.3248156
42118,1,0.9417375
42119,1,0.9386378
42120,1,0.94153106
42121,0,0.32508996
42122,0,0.0024497434
42123,1,0.71696275
42124,1,0.92905784
42125,0,0.004352628
42126,0,1.3120117e-28
42127,0,0.0053020706
42128,0,0.22797297
42129,1,0.6661296
42130,1,0.8936222
42131,0,0.29298893
42132,1,0.53066295
42133,1,0.97975445
42134,0,0.46907178
42135,0,4.342822e-16
42136,0,0.040935304
42137,1,0.67221737
42138,1,0.671606
42139,1,0.9012115
42140,0,0.0017702954
42141,0,0.19202569
42142,1,0.61952835
42143,1,0.9629024
42144,0,0.18316473
42145,1,0.8810876
42146,0,0.05731265
42147,1,0.9033128
42148,1,0.6252466
42149,1,0.50133044
42150,0,0.31069642
42151,1,0.80902535
42152,1,0.77645594
42153,0,0.1554922
42154,1,0.6188153
42155,0,0.41893098
42156,0,0.38189283
42157,0,0.0063466337
42158,0,0.28223145
42159,1,0.8773733
42160,1,0.60241824
42161,0,1.685545e-06
42162,0,0.050923146
42163,0,0.056521986
42164,1,0.84508294
42165,0,0.43362045
42166,1,0.83428985
42167,0,3.369328e-09
42168,1,0.7360472
42169,1,0.8510624
42170,0,0.028442109
42171,0,0.34705025
42172,0,0.22810477
42173,1,0.87577724
42174,0,0.12092975
42175,0,0.19880587
42176,1,0.9450591
42177,0,0.18994914
42178,0,0.042882755
42179,1,0.9342905
42180,1,0.77962387
42181,1,0.55866027
42182,1,0.8630322
42183,0,0.29138103
42184,0,0.035644345
42185,0,0.13418096
42186,0,0.21414563
42187,0,0.33260387
42188,0,0.01128859
42189,0,0.14484617
42190,0,0.15042159
42191,0,0.18701123
42192,0,0.24664494
42193,0,0.152803
42194,0,0.25752568
42195,1,0.93627363
42196,1,0.87914896
42197,0,0.4602836
42198,1,0.641467
42199,1,0.64675814
42200,1,0.6140718
42201,1,0.6442727
42202,0,0.43808398
42203,0,0.30451947
42204,1,0.84744245
42205,0,0.2112734
42206,0,0.0041888584
42207,1,0.76540464
42208,0,0.072395355
42209,0,0.24159808
42210,0,0.16066812
42211,0,0.23382421
42212,0,0.2775899
42213,1,0.9140932
42214,1,0.72154576
42215,0,0.2734857
42216,1,0.8476857
42217,0,0.10510419
42218,0,0.028397813
42219,0,0.15897726
42220,0,0.17833489
42221,1,0.75704485
42222,1,0.51000875
42223,0,0.14347085
42224,1,0.96030354
42225,1,0.77234507
42226,1,0.9258543
42227,0,0.06858929
42228,1,0.68720543
42229,0,0.10278097
42230,0,0.32584226
42231,1,0.7208346
42232,1,0.7710453
42233,0,0.15097073
42234,1,0.58818173
42235,0,0.16354345
42236,0,0.029210558
42237,1,0.85101825
42238,0,0.36323127
42239,0,0.2930367
42240,1,0.9629121
42241,1,0.7232952
42242,0,0.13260992
42243,1,0.9326581
42244,0,0.28020385
42245,1,0.73349977
42246,1,0.9531002
42247,1,0.7995824
42248,1,0.56272525
42249,1,0.9193893
42250,0,0.39199102
42251,0,0.21159977
42252,1,0.85813546
42253,1,0.8011974
42254,0,0.041011732
42255,0,0.10758293
42256,1,0.76433647
42257,1,0.73477006
42258,0,0.29018041
42259,1,0.7660371
42260,1,0.7764354
42261,1,0.7951949
42262,1,0.9290719
42263,1,0.9697139
42264,0,0.12644106
42265,1,0.8575604
42266,0,0.028257765
42267,0,0.15768151
42268,1,0.83630866
42269,0,0.061561607
42270,1,0.92030466
42271,1,0.7918257
42272,0,0.07957271
42273,0,0.120253116
42274,1,0.7915823
42275,0,0.27131328
42276,0,0.09197372
42277,0,0.10355311
42278,0,0.07338173
42279,0,0.39002624
42280,0,0.45166695
42281,0,0.009604498
42282,0,0.41902384
42283,0,0.12820873
42284,0,0.4148498
42285,0,0.054006465
42286,0,0.055839702
42287,1,0.7666957
42288,0,0.34481797
42289,1,0.8176565
42290,0,0.026935682
42291,1,0.91227525
42292,0,0.1884072
42293,1,0.8579931
42294,1,0.9740996
42295,0,0.1233946
42296,0,0.10201761
42297,0,0.24308626
42298,0,0.09847633
42299,1,0.872613
42300,1,0.52108365
42301,0,0.29454756
42302,0,0.1525299
42303,0,0.30045122
